PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers
18125,AF,pan,0,"Punjabi, Eastern","Punjabi, Eastern",P,2558
18274,AF,tur,0,Turkish,Turkish,P,10016
18369,AF,mvy,0,"Kohistani, Indus","Kohistani, Indus",P,43701
18693,AF,wbl,0,Wakhi,Wakhi,P,19185
19007,AF,afg,0,"Afghan Sign Language","Afghan Sign Language",P,363730
19409,AF,azb,3389,"Azerbaijani, South","Azerbaijani, South: Afshari",P,
19409,AF,prs,0,Dari,Dari,S,
19423,AF,urd,0,Urdu,Urdu,P,6024
19437,AF,khw,0,Khowar,Khowar,P,9388
20542,AF,isk,0,Ishkashimi,Ishkashimi,P,2943
21454,AF,aiq,0,Aimaq,Aimaq,P,1490772
10379,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,28375324
10774,AG,kcy,0,Korandje,Korandje,P,3748
10803,AG,rif,0,Tarifit,Tarifit,P,3105
11140,AG,eng,0,English,English,P,725
11199,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,78984
11234,AG,fra,0,French,French,P,12926
11284,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,131434
11321,AG,cnu,0,Chenoua,Chenoua,P,94043
11633,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,78450
11722,AG,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,17089
11764,AG,fra,0,French,French,P,667
12070,AG,hau,0,Hausa,Hausa,P,
12178,AG,dsq,0,Tadaksahak,Tadaksahak,P,2365
12217,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,1577242
12247,AG,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,4459
12399,AG,kab,0,Kabyle,Kabyle,P,5776434
12944,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,78641
13669,AG,tzm,0,"Tamazight, Central Atlas","Tamazight, Central Atlas",P,78755
13819,AG,ary,0,"Arabic, Moroccan Spoken","Arabic, Moroccan Spoken",P,172976
13842,AG,mzb,0,Tumzabt,Tumzabt,P,179638
13922,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,36797
14570,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,4346
14584,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,78884
14639,AG,mey,0,Hassaniyya,Hassaniyya,P,
14639,AG,spa,0,Spanish,Spanish,S,
14899,AG,shy,0,Tachawit,Tachawit,P,2240777
14911,AG,shi,0,Tachelhit,Tachelhit,P,6211
14938,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,131548
15077,AG,spa,0,Spanish,Spanish,P,621
15095,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,124842
15199,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,1695635
15226,AG,aao,0,"Arabic, Algerian Saharan Spoken","Arabic, Algerian Saharan Spoken",P,145329
15473,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,
15473,AG,tia,0,"Tamazight, Tidikelt","Tamazight, Tidikelt",S,
15572,AG,tjo,0,"Tamazight, Temacine","Tamazight, Temacine",P,9176
15608,AG,thv,0,"Tamahaq, Tahaggart","Tamahaq, Tahaggart",P,40750
15609,AG,grr,17278,Taznatit,"Taznatit: Touat",P,11360
16103,AG,arq,0,"Arabic, Algerian Spoken","Arabic, Algerian Spoken",P,262881
18274,AG,tur,0,Turkish,Turkish,P,3321
18364,AG,oua,0,Tagargrent,Tagargrent,P,21470
19007,AG,asp,0,"Algerian Sign Language","Algerian Sign Language",P,210040
19206,AG,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,34368
10429,AJ,hye,0,Armenian,Armenian,P,
10464,AJ,aii,112,"Assyrian Neo-Aramaic","Assyrian Neo-Aramaic: Assyrian",P,1526
10495,AJ,ava,0,Avar,Avar,P,52678
10528,AJ,azj,0,"Azerbaijani, North","Azerbaijani, North",P,8730145
10839,AJ,jdt,0,Judeo-Tat,Judeo-Tat,P,14813
10980,AJ,bdk,8413,Budukh,"Budukh: Yergyuch",P,1057
11065,AJ,bel,7935,Belarusian,"Belarusian: Southwest Belarusan",P,6426
11140,AJ,eng,0,English,English,P,2788
11255,AJ,kry,0,Kryts,Kryts,P,5671
11317,AJ,che,8728,Chechen,"Chechen: Ploskost",P,5176
11505,AJ,dar,0,Dargwa,Dargwa,P,
11865,AJ,kat,0,Georgian,Georgian,P,10473
11871,AJ,deu,0,"German, Standard","German, Standard",P,934
12230,AJ,kat,10165,Georgian,"Georgian: Ingilo",P,17298
12599,AJ,kaz,11758,Kazakh,"Kazakh: Western Kazakh",P,2272
12660,AJ,kjj,0,Khinalugh,Khinalugh,P,2326
12877,AJ,kmr,0,"Kurdish, Northern","Kurdish, Northern",P,6452
12952,AJ,lbe,12694,Lak,"Lak: Vixlin",P,1584
13049,AJ,lez,0,Lezgi,Lezgi,P,190723
13775,AJ,ron,0,Romanian,Romanian,P,2445
13809,AJ,myv,0,Erzya,Erzya,P,996
13896,AJ,ttt,0,"Tat, Muslim","Tat, Muslim",P,24335
14229,AJ,oss,15361,Ossetic,"Ossetic: Tual",P,2704
14371,AJ,pes,0,"Persian, Iranian","Persian, Iranian",P,1411
14571,AJ,ron,16065,Romanian,"Romanian: Transylvanian",P,1625
14598,AJ,rus,16118,Russian,"Russian: South Russian",P,126196
14603,AJ,rut,16123,Rutul,"Rutul: North Rutul",P,17388
14885,AJ,azb,0,"Azerbaijani, South","Azerbaijani, South",P,1996
15220,AJ,azj,7452,"Azerbaijani, North","Azerbaijani, North: Zaqatala",S,
15220,AJ,tly,0,Talysh,Talysh,P,
15284,AJ,tat,17246,Tatar,"Tatar: Western Tatar",P,27397
15587,AJ,tkr,0,Tsakhur,Tsakhur,P,29626
15684,AJ,udi,0,Udi,Udi,P,4021
15696,AJ,ukr,0,Ukrainian,Ukrainian,P,22745
15756,AJ,uzs,0,"Uzbek, Southern","Uzbek, Southern",P,1912
18274,AJ,tur,17825,Turkish,"Turkish: Rumelian",P,11386
18859,AJ,azb,7464,"Azerbaijani, South","Azerbaijani, South: Shahsavani",P,288156
19007,AJ,xxx,0,Unknown,"Language unknown",P,74430
20631,AJ,azj,0,"Azerbaijani, North","Azerbaijani, North",P,11386
10249,AL,als,0,"Albanian, Tosk","Albanian, Tosk",P,1573261
10328,AL,eng,0,English,English,P,794
10431,AL,rup,0,Aromanian,Aromanian,P,7338
11880,AL,aln,0,"Albanian, Gheg","Albanian, Gheg",P,1206335
11942,AL,ell,0,Greek,Greek,P,27676
12273,AL,ita,0,Italian,Italian,P,7793
13186,AL,mkd,0,Macedonian,Macedonian,P,5539
13798,AL,srp,0,Serbian,Serbian,P,1331
14567,AL,aln,0,"Albanian, Gheg","Albanian, Gheg",S,
14567,AL,rmy,16050,"Romani, Vlax","Romani, Vlax: Southern Vlax Romani",P,
14864,AL,srp,0,Serbian,Serbian,P,1331
15741,AL,eng,0,English,English,P,2080
18274,AL,tur,0,Turkish,Turkish,P,1719
18765,AL,srp,0,Serbian,Serbian,P,35507
19007,AL,sqk,0,"Albanian Sign Language","Albanian Sign Language",P,14670
19215,AL,eng,0,English,English,P,6367
20676,AL,als,0,"Albanian, Tosk","Albanian, Tosk",P,2990
10429,AM,hye,0,Armenian,Armenian,P,
10429,AM,hyw,0,"Armenian, Western","Armenian, Western",S,
10430,AM,rmi,0,Lomavren,Lomavren,P,48
10464,AM,aii,112,"Assyrian Neo-Aramaic","Assyrian Neo-Aramaic: Assyrian",P,14442
10528,AM,azj,0,"Azerbaijani, North","Azerbaijani, North",P,500
11065,AM,bel,0,Belarusian,Belarusian,P,901
11865,AM,kat,0,Georgian,Georgian,P,614
11942,AM,ell,0,Greek,Greek,P,896
12877,AM,kmr,0,"Kurdish, Northern","Kurdish, Northern",P,2151
13775,AM,ron,0,Romanian,Romanian,P,551
14571,AM,ron,0,Romanian,Romanian,P,590
14598,AM,rus,0,Russian,Russian,P,11851
15284,AM,tat,0,Tatar,Tatar,P,507
15684,AM,udi,0,Udi,Udi,P,187
15696,AM,ukr,0,Ukrainian,Ukrainian,P,1170
19007,AM,aen,0,"Armenian Sign Language","Armenian Sign Language",P,14670
20455,AM,kmr,7929,"Kurdish, Northern","Kurdish, Northern: Behdini",P,35131
11108,AN,cat,8661,Catalan,"Catalan: Catalan-Rousillonese",P,33317
11140,AN,eng,0,English,English,P,932
11234,AN,fra,0,French,French,P,4475
11871,AN,deu,0,"German, Standard","German, Standard",P,559
12273,AN,ita,0,Italian,Italian,P,558
13819,AN,ary,0,"Arabic, Moroccan Spoken","Arabic, Moroccan Spoken",P,540
14449,AN,por,0,Portuguese,Portuguese,P,11840
15077,AN,spa,0,Spanish,Spanish,P,23435
19007,AN,xxx,0,Unknown,"Language unknown",P,154
19211,AN,hin,0,Hindi,Hindi,P,568
10168,AO,afr,6716,Afrikaans,"Afrikaans: Orange River Afrikaans",P,2048
10598,AO,kng,0,Koongo,Koongo,P,21872
10676,AO,xuu,0,Khwedam,Khwedam,P,280
10918,AO,blv,0,Kibala,Kibala,P,6004
11069,AO,kea,0,Kabuverdianu,Kabuverdianu,P,88711
11140,AO,eng,0,English,English,P,1128
11234,AO,fra,0,French,French,P,6922
11365,AO,cjk,166,Cokwe,"Cokwe: Cokwe",P,1703358
11545,AO,dhm,0,Dhimba,Dhimba,P,29222
11852,AO,diu,0,Gciriku,Gciriku,P,41800
12085,AO,her,0,Herero,Herero,P,
12116,AO,hol,10683,Holu,"Holu: Yeci",P,50347
12774,AO,kng,12204,Koongo,"Koongo: Kongo",P,2827678
12775,AO,kwy,0,"Kongo, San Salvador","Kongo, San Salvador",P,18470
12856,AO,knw,0,Kung-Ekoka,Kung-Ekoka,P,6928
12857,AO,ktz,0,Ju'hoan,Ju'hoan,P,9216
12911,AO,kwn,0,Kwangali,Kwangali,P,
12914,AO,kua,1951,Oshiwambo,"Oshiwambo: Kwanyama",P,1163446
12962,AO,ldi,0,Laari,Laari,P,4896
13068,AO,lin,0,Lingala,Lingala,P,133770
13127,AO,loz,0,Lozi,Lozi,P,8079
13134,AO,lua,0,Luba-Kasai,Luba-Kasai,P,68576
13138,AO,lch,207,Lucazi,"Lucazi: Luchazi",P,598352
13146,AO,lum,0,Luimbi,Luimbi,P,100679
13153,AO,lun,0,Lunda,Lunda,P,331009
13154,AO,kmb,13944,Kimbundu,"Kimbundu: Njinga",P,
13154,AO,por,0,Portuguese,Portuguese,S,
13167,AO,lwa,0,Lwalu,Lwalu,P,22859
13168,AO,lue,0,Luvale,Luvale,P,1054593
13276,AO,lun,1288,Lunda,"Lunda: Ndembu",P,16860
13287,AO,ndq,0,Ndombe,Ndombe,P,46138
13289,AO,ndo,0,Ndonga,Ndonga,P,
13339,AO,nne,0,Ngandyera,Ngandyera,P,27676
13414,AO,nkn,0,Nkangala,Nkangala,P,48605
13417,AO,khu,0,Nkumbi,Nkumbi,P,392121
13426,AO,sie,0,Simaa,Simaa,P,3428
13454,AO,vaj,0,"Northwestern Kung","Northwestern Kung",P,12706
13569,AO,mho,13824,Mashi,"Mashi: North Kwandu",P,4621
13617,AO,mxg,0,Mbangala,Mbangala,P,
13639,AO,mhw,0,Mbukushu,Mbukushu,P,13840
13643,AO,mck,0,Mbunda,Mbunda,P,299841
13645,AO,mfu,0,Mbwela,Mbwela,P,492784
14084,AO,nyk,0,Nyaneka,Nyaneka,P,769440
14092,AO,nba,0,Nyemba,Nyemba,P,495889
14093,AO,nye,0,Nyengo,Nyengo,P,22445
14449,AO,por,0,Portuguese,Portuguese,P,429746
14604,AO,rnd,0,Ruund,Ruund,P,225900
14668,AO,smd,0,Sama,Sama,P,
14668,AO,ssb,16244,"Sama, Southern","Sama, Southern: Sama",S,
14681,AO,hgm,10523,Haiom,"Haiom: Kedi",P,1520
15077,AO,spa,0,Spanish,Spanish,P,13372
15109,AO,sub,0,Suku,Suku,P,34289
15706,AO,umb,0,Umbundu,Umbundu,P,9265721
15953,AO,yaf,0,Yaka,Yaka,P,458684
16005,AO,yax,0,Yauma,Yauma,P,39217
16051,AO,yom,0,Yombe,Yombe,P,80737
19007,AO,xxx,0,Unknown,"Language unknown",P,307740
19052,AO,nsx,0,Songo,Songo,P,205290
19206,AO,cmn,8839,"Chinese, Mandarin","Chinese, Mandarin: Xinan Guanhua",P,363129
19208,AO,eng,0,English,English,P,22834
20990,AO,olu,0,Kuvale,Kuvale,P,86193
21063,AO,nql,0,Ngendelengo,Ngendelengo,P,1231
21064,AO,xdo,0,Kwandu,Kwandu,P,7388
21580,AO,pnd,0,Mpinda,Mpinda,P,30000
11165,AQ,eng,0,English,English,P,3821
12322,AQ,jpn,0,Japanese,Japanese,P,982
12795,AQ,kor,0,Korean,Korean,P,540
14676,AQ,smo,0,Samoan,Samoan,P,47042
15175,AQ,tgl,0,Tagalog,Tagalog,P,677
15535,AQ,tkl,0,Tokelauan,Tokelauan,P,88
15554,AQ,ton,0,Tongan,Tongan,P,713
15741,AQ,eng,0,English,English,P,1068
19007,AQ,xxx,0,Unknown,"Language unknown",P,280
10421,AR,spa,0,Spanish,Spanish,P,35169235
10429,AR,hye,0,Armenian,Armenian,P,
10429,AR,hyw,0,"Armenian, Western","Armenian, Western",S,
10962,AR,gun,0,"Guarani, Mbya","Guarani, Mbya",P,
10966,AR,por,0,Portuguese,Portuguese,P,43201
11065,AR,bel,0,Belarusian,Belarusian,P,
11069,AR,kea,0,Kabuverdianu,Kabuverdianu,P,
11069,AR,spa,0,Spanish,Spanish,S,
11108,AR,cat,3162,Catalan,"Catalan: Central",P,197621
11140,AR,eng,0,English,English,P,9418
11234,AR,fra,0,French,French,P,16293
11306,AR,gui,0,"Guarani, Eastern Bolivian","Guarani, Eastern Bolivian",P,
11335,AR,spa,0,Spanish,Spanish,P,206282
11354,AR,gui,10376,"Guarani, Eastern Bolivian","Guarani, Eastern Bolivian: Izoceno",P,23361
11355,AR,nhd,0,"Guarani, Ava","Guarani, Ava",P,23756
11369,AR,crt,0,"Chorote, Iyojwa'ja","Chorote, Iyojwa'ja",P,917
11370,AR,crq,0,"Chorote, Iyo'wujwa","Chorote, Iyo'wujwa",P,1719
11379,AR,cag,0,Nivacle,Nivacle,P,
11437,AR,hrv,0,Croatian,Croatian,P,4159
11458,AR,ces,0,Czech,Czech,P,
11810,AR,glg,0,Galician,Galician,P,752316
11871,AR,deu,0,"German, Standard","German, Standard",P,41838
11942,AR,ell,0,Greek,Greek,P,41027
12273,AR,ita,0,Italian,Italian,P,1115517
12322,AR,jpn,0,Japanese,Japanese,P,37555
12432,AR,kgk,0,Kaiwa,Kaiwa,P,
12795,AR,kor,0,Korean,Korean,P,32355
12863,AR,spa,0,Spanish,Spanish,P,15121
12989,AR,lao,0,Lao,Lao,P,
13526,AR,arn,0,Mapudungun,Mapudungun,P,
13677,AR,pdt,0,Plautdietsch,Plautdietsch,P,4057
13756,AR,moc,0,Mocovi,Mocovi,P,24841
13961,AR,mtp,0,"Wichi Lhamtes Nocten","Wichi Lhamtes Nocten",P,45924
14276,AR,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,1154
14312,AR,gug,0,"Guarani, Paraguayan","Guarani, Paraguayan",P,592923
14373,AR,spa,0,Spanish,Spanish,P,168806
14391,AR,plg,0,Pilaga,Pilaga,P,5617
14392,AR,mzh,0,"Wichi Lhamtes Guisnay","Wichi Lhamtes Guisnay",P,43616
14431,AR,pol,0,Polish,Polish,P,
14449,AR,por,0,Portuguese,Portuguese,P,15024
14502,AR,quh,0,"Quechua, South Bolivian","Quechua, South Bolivian",P,80942
14504,AR,quh,15871,"Quechua, South Bolivian","Quechua, South Bolivian: Quechua, Northwest Jujuy,",P,2028
14567,AR,rmy,0,"Romani, Vlax","Romani, Vlax",P,58945
14571,AR,ron,0,Romanian,Romanian,P,16293
14598,AR,rus,0,Russian,Russian,P,
14744,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,63588
14864,AR,srp,0,Serbian,Serbian,P,6352
14962,AR,slk,0,Slovak,Slovak,P,9140
14964,AR,slv,0,Slovene,Slovene,P,11562
15077,AR,spa,0,Spanish,Spanish,P,586253
15080,AR,spa,0,Spanish,Spanish,P,183249
15152,AR,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,1465475
15265,AR,tpj,0,Nandeva,Nandeva,P,570
15319,AR,arn,0,Mapudungun,Mapudungun,P,30239
15517,AR,tob,22280,Toba,"Toba: Toba Qom",P,137161
15696,AR,ukr,0,Ukrainian,Ukrainian,P,31202
15739,AR,spa,0,Spanish,Spanish,P,124201
15780,AR,wlv,0,"Wichi Lhamtes Vejoz","Wichi Lhamtes Vejoz",P,45924
15791,AR,tob,0,Toba,Toba,P,540
15905,AR,cym,0,Welsh,Welsh,P,31202
18274,AR,tur,0,Turkish,Turkish,P,818
18757,AR,ayr,7,"Aymara, Central","Aymara, Central: Aymara",P,22680
19006,AR,spa,0,Spanish,Spanish,P,1765344
19007,AR,aed,0,"Argentine Sign Language","Argentine Sign Language",P,223445
19023,AR,spa,0,Spanish,Spanish,P,133921
19024,AR,spa,0,Spanish,Spanish,P,1295
19206,AR,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,76389
19213,AR,spa,0,Spanish,Spanish,P,15212
19214,AR,spa,0,Spanish,Spanish,P,2808
19623,AR,spa,0,Spanish,Spanish,P,1837
19624,AR,spa,0,Spanish,Spanish,P,1403
19626,AR,spa,0,Spanish,Spanish,P,2378
20281,AR,spa,0,Spanish,Spanish,P,1620
20500,AR,spa,0,Spanish,Spanish,P,16201
20501,AR,spa,0,Spanish,Spanish,P,37800
20502,AR,spa,0,Spanish,Spanish,P,72361
20504,AR,spa,0,Spanish,Spanish,P,36721
20505,AR,spa,0,Spanish,Spanish,P,70200
20506,AR,spa,0,Spanish,Spanish,P,3996
20507,AR,spa,0,Spanish,Spanish,P,2054
20508,AR,spa,0,Spanish,Spanish,P,7452
20509,AR,spa,0,Spanish,Spanish,P,3024
20510,AR,spa,0,Spanish,Spanish,P,23760
20511,AR,spa,0,Spanish,Spanish,P,3996
20512,AR,spa,0,Spanish,Spanish,P,16201
20513,AR,spa,0,Spanish,Spanish,P,3132
10134,AS,rop,12353,Kriol,"Kriol: Roper River Kriol",P,4485
10168,AS,afr,0,Afrikaans,Afrikaans,P,
10168,AS,eng,0,English,English,S,
10259,AS,aly,0,Alyawarr,Alyawarr,P,1952
10311,AS,aoi,0,Anindilyakwa,Anindilyakwa,P,1670
10326,AS,eng,0,English,English,P,17999939
10328,AS,eng,0,English,English,P,40024
10329,AS,eng,0,English,English,P,520075
10330,AS,rme,0,Angloromani,Angloromani,P,6252
10334,AS,amx,0,Anmatyerre,Anmatyerre,P,1208
10429,AS,hye,0,Armenian,Armenian,P,
10429,AS,hyw,0,"Armenian, Western","Armenian, Western",S,
10464,AS,aii,112,"Assyrian Neo-Aramaic","Assyrian Neo-Aramaic: Assyrian",P,31243
10491,AS,bar,0,Bavarian,Bavarian,P,24369
10530,AS,bcj,0,Bardi,Bardi,P,194
10953,AS,bos,0,Bosnian,Bosnian,P,32948
10991,AS,pkp,0,Pukapuka,Pukapuka,P,1390
10998,AS,bul,0,Bulgarian,Bulgarian,P,
11026,AS,bvr,0,Burarra,Burarra,P,1293
11029,AS,mya,0,Burmese,Burmese,P,12507
11065,AS,bel,0,Belarusian,Belarusian,P,6133
11140,AS,eng,0,English,English,P,960972
11157,AS,ekk,0,"Estonian, Standard","Estonian, Standard",P,1510
11200,AS,fij,0,Fijian,Fijian,P,61659
11205,AS,fin,0,Finnish,Finnish,P,
11234,AS,fra,0,French,French,P,24178
11244,AS,kri,0,Krio,Krio,P,3520
11264,AS,xmh,0,Kugu-Muminh,Kugu-Muminh,P,64
11268,AS,kux,0,Kukatja,Kukatja,P,531
